"FullName","Name","Extension","Length","LastWriteTime","CreationTime"
"C:\Users\RhysL\Desktop\DE_Tools\.gitignore",".gitignore",".gitignore","64","30/03/2025 12:44:12","22/03/2025 08:58:24"
"C:\Users\RhysL\Desktop\DE_Tools\poetry.lock","poetry.lock",".lock","151874","04/04/2025 07:38:02","22/03/2025 21:06:56"
"C:\Users\RhysL\Desktop\DE_Tools\pyproject.toml","pyproject.toml",".toml","1020","04/04/2025 07:38:02","22/03/2025 20:59:12"
"C:\Users\RhysL\Desktop\DE_Tools\README.md","README.md",".md","965","24/03/2025 07:27:09","09/02/2025 09:32:31"
"C:\Users\RhysL\Desktop\DE_Tools\test_folders.csv","test_folders.csv",".csv","2891","12/07/2025 19:46:50","12/07/2025 19:46:50"
"C:\Users\RhysL\Desktop\DE_Tools\.git\COMMIT_EDITMSG","COMMIT_EDITMSG","","9","12/07/2025 21:43:02","09/02/2025 09:33:53"
"C:\Users\RhysL\Desktop\DE_Tools\.git\config","config","","301","09/02/2025 09:35:10","09/02/2025 09:35:09"
"C:\Users\RhysL\Desktop\DE_Tools\.git\description","description","","73","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\FETCH_HEAD","FETCH_HEAD","","98","12/07/2025 21:43:56","22/03/2025 21:09:11"
"C:\Users\RhysL\Desktop\DE_Tools\.git\HEAD","HEAD","","21","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\index","index","","43548","12/07/2025 21:43:02","12/07/2025 21:43:02"
"C:\Users\RhysL\Desktop\DE_Tools\.git\ORIG_HEAD","ORIG_HEAD","","41","12/07/2025 21:43:56","12/07/2025 21:43:56"
"C:\Users\RhysL\Desktop\DE_Tools\.git\hooks\applypatch-msg.sample","applypatch-msg.sample",".sample","478","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\hooks\commit-msg.sample","commit-msg.sample",".sample","896","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\hooks\fsmonitor-watchman.sample","fsmonitor-watchman.sample",".sample","4655","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\hooks\post-update.sample","post-update.sample",".sample","189","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\hooks\pre-applypatch.sample","pre-applypatch.sample",".sample","424","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\hooks\pre-commit.sample","pre-commit.sample",".sample","1643","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\hooks\pre-merge-commit.sample","pre-merge-commit.sample",".sample","416","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\hooks\pre-push.sample","pre-push.sample",".sample","1374","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\hooks\pre-rebase.sample","pre-rebase.sample",".sample","4898","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\hooks\pre-receive.sample","pre-receive.sample",".sample","544","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\hooks\prepare-commit-msg.sample","prepare-commit-msg.sample",".sample","1492","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\hooks\push-to-checkout.sample","push-to-checkout.sample",".sample","2783","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\hooks\update.sample","update.sample",".sample","3650","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\info\exclude","exclude","","240","09/02/2025 09:33:33","09/02/2025 09:33:33"
"C:\Users\RhysL\Desktop\DE_Tools\.git\logs\HEAD","HEAD","","13026","12/07/2025 21:43:02","09/02/2025 09:33:53"
"C:\Users\RhysL\Desktop\DE_Tools\.git\logs\refs\heads\main","main","","12869","12/07/2025 21:43:02","09/02/2025 09:33:53"
